EPA File No.,Complainant/Attorney,Date of Title VI complaint,Accused Agency,Claim of Discrimination,Concern Employment Discrimination? Y/N,Grievance Summary,Neighborhood,City,State,County,Date EPA received complaint,Complaint filed within 180 day limit? ,Complaint describes Title VI prohibited discrimination? ,Accused agency receives EPA funding? ,OCR Review Ruling,Referred agency,Date OCR sent review response to complainant,OCR InvestigationDate ,Final Adjudication & Reason,CPI OCR FINAL INVESTIGATION DATE ,Documents
13R-97-R9,Lucha Ambiental de la Comunidad Hispana,11/8/97,Los Angeles County Department of Regional Planning,"RACE, COLOR, NATIONAL ORIGIN",No,Complaint alleged the granting of an expansion permit for the Chiquita Canyon dump was discriminatory to the Latino residents near the facility. ,,VAL VERDE,CA,LOS ANGELES COUNTY,11/8/97,N/A,N/A,No,Rejection,,8/24/98,,Denied - Financial,,https://www.documentcloud.org/documents/2162635-epa_13r-97-r9.html
13R-98-R6,Coalition for a Good Environment,11/10/98,Louisiana Dept. of Environmental Quality,RACE,No,Complaint alleged lack of meaningful participation for Vietnamese community in the permitting process for a hazardous waste incinerator. ,,AMELIA,LA,,11/10/98,Yes,Yes,Yes,Accepted,,8/24/01,11/30/01,Closed - Withdrawn,11/30/01,https://www.documentcloud.org/documents/2162637-epa_13r-98-r6.html
13R-99-R6,South Valley Coalition of Neighborhood Associations & Southwest Organizing Project,5/13/99,New Mexico Environment Dept.,"RACE, NATIONAL ORIGIN",No,Complaint alleged a permit to expand a landfill was part of a discriminatory pattern. ,South Valley,ALBUQUERQUE,NM,BERNALILLO COUNTY,5/13/99,Yes,N/A,Yes,Rejection,,12/17/01,,Denied - Moot,,https://www.documentcloud.org/documents/2162638-epa_13r-99-r6.html
14R-00-R2,South Camden Citizens in Action,10/4/00,New Jersey Dept. of Environmental Protection,RACE,No,Complaint alleged a grinding facility was built without the proper permits and was located in a predominantly minority area. ,Waterfront South (Census Tract Number 6018 and adjoining tracts),CAMDEN,NJ,,10/1/00,N/A,N/A,N/A,No Review,,3/30/01,,Dismissed without prejudice,9/4/05,https://www.documentcloud.org/documents/2162639-epa_14r-00-r2.html
14R-04-R9,Californians for Renewable Energy Inc. ,3/8/04,Fort Ord Reuse Authority ,"RACE, RELIGION, INCOME",No,Complaint alleged discrimination and the lack of affordable housing in a redevelopment project. ,Fort Ord,"HOLLISTER, MONTEREY",CA,,3/8/04,N/A,N/A,No,Rejection,,10/7/05,,Denied - Financial,,https://www.documentcloud.org/documents/2162640-epa_14r-04-r9.html
14R-05-R4,Redacted,2/17/05,University of Florida,RACE,No,Complaint alleged illegal disposal of hazardous waste on complainant's land.  ,,GAINESVILLE,FL,,8/24/05,No,N/A,N/A,Rejection,,3/20/08,,Denied - Untimely,,https://www.documentcloud.org/documents/2162641-epa_14r-05-r4.html
14R-06-R6,Redacted,N/A,"Texas Commission on Environmental Quality, Galveston County Health District",RACE,No,Complaint alleged discrimination due to a lack of air monitoring for the chemical releases from a local factory.  ,Northwest of Sterling Chemicals front gate fence line at 201 Bay Street South,TEXAS CITY,TX,,9/18/06,N/A,N/A,No,Rejection,,1/26/09,,Denied - Untimely,,https://www.documentcloud.org/documents/2162642-epa_14r-06-r6.html
14R-07-R9,Don't Waste Arizona ,12/10/07,Maricopa County Air Quality Dept.,,No,"Complaint alleged county failed to monitor the air in the community closest to a planned facility expansion, ignoring the effects on minority residents.",,PHOENIX,AZ,,12/10/07,No,No,N/A,Rejection,,7/8/08,,"Denied - Untimely, Claims",,https://www.documentcloud.org/documents/2162643-epa_14r-07-r9.html
14R-10-R3,Coalition for Equal Justice,N/A,"Virginia Dept. of Environmental Quality, City of Norfolk ",RACE,No,Complaint alleged several agencies failed to investigate off-site migration of contamination from a coal gasification plant and a municipal waste site. ,Young's Terrace Community,NORFOLK,VA,,5/31/10,N/A,No,No,Rejection,,1/10/11,,Denied - Financial,,https://www.documentcloud.org/documents/2162644-epa_14r-10-r3.html
14R-12-R9,Redacted,N/A,"State of Nevada, City of Las Vegas, Regional Transportation Commission",RACE,,Complaint alleged residents were excluded from the public involvement process regarding improvements to a highway.,F Street,LAS VEGAS,NV,,7/31/12,N/A,N/A,No,Rejection,US Transporation Department,9/26/12,,Denied - Financial,,https://www.documentcloud.org/documents/2162646-epa_14r-12-r9.html
14R-13-R4,Redacted,7/24/13,City of Brooksville,RACE,No,Complaint alleged African-American residents were excluded from discussions about contaminated areas in the community.,,SOUTH  BROOKSVILLE,FL,,7/24/13,,,,Pending,,N/A,,Pending,N/A,https://www.documentcloud.org/documents/2162647-epa_14r-13-r4.html
14R-97-R5,South Cook County Environmental Action Coalition,N/A,Illinois EPA,RACE,No,Complaint alleged that the permitting of a municipal waste incinerator wpuld almost exclusively impact people of color living near the facility and claimed there was a discriminatory pattern of state permitting decisions.  ,,ROBBINS,IL,COOK COUNTY,12/1/97,Yes,Yes,Yes,Accepted,,9/30/98,3/14/05,Closed - Settlement,3/14/05,https://www.documentcloud.org/documents/2162649-epa_14r-97-r5.html
14R-98-R4,"South Carolina Conference of Branches, NAACP",11/15/98,South Carolina State Ports Authority,,,Complaint alleged inadequate public participation regarding the approval of a port expansion.,,WANDO/CAINHOY COMMUNITY,SC,BERKELEY COUNTY,11/15/98,N/A,N/A,No,Rejection,,1/19/99,,Denied - Financial,,https://www.documentcloud.org/documents/2162650-epa_14r-98-r4.html
14R-99-R4,"Residents, U.S. Congressman Bennie Thompson",4/14/99,"Mississippi Dept. of Environmental Quality, City of Greenville",RACE,No,Complaint alleged discrimination in the siting and permitting of a manufacturer of househould cleaners.,Clay and South Theobold Streets,GREENVILLE,MS,,4/14/99,Yes,Yes,Yes,Accepted,,5/28/99,7/11/02,Dismissed,7/11/02,https://www.documentcloud.org/documents/2162653-epa_14r-99-r4.html
15R-00-R4,Redacted,4/5/00,Granville County Creedmore Sheriff Department,RACE,No,Complainant alleged city unfairly evicted complainant from a property after it was discovered the property was contaminated and didn't allow complainant to retrieve valuables. ,,OXFORD,NC,,4/6/00,No,N/A,No,Rejection,,8/6/00,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162654-epa_15r-00-r4.html
15R-05-R9,Don't Waste Arizona,7/18/05,Maricopa County Air Quality Department,"RACE, INCOME",No,Complaint alleged the issuance of a Clean Air Act Title VI operating permit to Phoenix Brick Yard discriminated against residents,,PHOENIX,AZ,MARICOPA COUNTY,7/18/05,Yes,Yes,Yes,Accepted,,7/30/09,7/17/12,Dismissed,7/17/12,https://www.documentcloud.org/documents/2162655-epa_15r-05-r9.html
15R-06-R3,Alpha Omega Construction,9/11/06,State of Virginia,RACE,No,Complainant alleged the governor's office denied complainant small-business financial aid because complainant is black. ,,DANVILLE,VA,,9/20/06,N/A,N/A,No,Rejection,US Interior Department,9/4/07,,Closed - Referred,9/4/07,https://www.documentcloud.org/documents/2162656-epa_15r-06-r3.html
15R-07-R9,Lindon Park Neighborhood Association,12/11/07,Maricopa County Air Quality Dept.,"RACE, NATIONAL ORIGIN",No,Complaint alleged inadequate notice for public hearings and insufficient opportunity to air concerns. ,"West of former Motorola 52nd Street Facility (48th to 50th Streets, McDowell Road to Portland Street)",PHOENIX,AZ,,12/11/07,No,N/A,N/A,Rejection,,8/25/08,,Denied - Untimely,,https://www.documentcloud.org/documents/2162657-epa_15r-07-r9.html
15R-10-R9,Abe Gupta,5/30/10,Union City,,,Complaint alleged the city put up barriers to keep complainant from completing necessary work on his gas station. ,,UNION CITY,CA,,5/30/10,N/A,N/A,No,Rejection,,7/23/10,,Denied - Financial,,https://www.documentcloud.org/documents/2162658-epa_15r-10-r9.html
15R-12-R2,Inmate,8/18/12,New York State Dept. of Corrections,,,Complaint alleged using mentally ill inmates to pick up litter outside of a facility was discriminatory and was also concerned about the hazards trash posed to birds. ,Five Points Correctional Facility,ROMULUS,NY,SENECA COUNTY,8/27/12,N/A,No,No,Rejection,DOJ Civil Rights Division,1/14/13,,"Denied - Financial, Claims, Referred",,https://www.documentcloud.org/documents/2162659-epa_15r-12-r2.html
15R-13-R2,Protecting Our Indian River,10/28/13,Sussex County Board of Adjustment,"RACE, LOW INCOME, AGE",,Complaint alleged minority residents were not considered when a poultry-processing facility was approved for an area already overburdened with industries. ,Possum Point/Colonial Estates/Holiday Acres,MILLSBORO,DEL,SUSSEX COUNTY,10/31/13,N/A,N/A,No,Rejection,,2/21/14,,Denied - Financial,,https://www.documentcloud.org/documents/2162660-epa_15r-13-r2.html
15R-97-R4,"Serving Alabama's Future Environment, Sierra Club, Chemcial Weapons Working Group",12/17/97,Alabama Dept. of Environmental Management,"RACE, INCOME",,"Complaint alleged permit for a chemical weapons incinerator at an Army depot was discriminatory because facility would release low levels of chemcial warfare agents, heavy metals and other toxic substances into a mostly black community.",Anniston US Army Depot,ANNISTON,AL,CALHOUN COUNTY,12/27/97,No,N/A,N/A,Rejection,,1/22/98,7/29/98,Denied - Untimely,,https://www.documentcloud.org/documents/2162662-epa_15r-97-r4.html
15R-98-R3,Citizens Helping Our Community,12/7/98,Allegheny County Health Dept.,"RACE, LOW INCOME",No,Complaint alleged the siting of a coke plant in the community was discriminatory since the area already violated air quality standards.,Hazelwood,PITTSBURGH,PA,,12/1/98,N/A,N/A,N/A,No Review,,7/26/99,,Denied - Moot,7/26/99,https://www.documentcloud.org/documents/2162663-epa_15r-98-r3.html
15R-99-R6,"Pine Bluff for Safe Disposal, Chemical Weapons Working Group",6/25/99,Arkansas Dept. of Environmental Quality,RACE,No,Complaint alleged a permit for a chemcial weapons incinerator at an Army base would disproprotionately harm African-American residents nearby. ,"East, Southeast and Northwest neighborhoods around Pine Bluffs Arsenal",PINE BLUFF,AR,JEFFERSON COUNTY,6/1/99,N/A,N/A,N/A,No Review,,1/7/02,,Dismissed without prejudice,1/7/02,https://www.documentcloud.org/documents/2162664-epa_15r-99-r6.html
16R-00-R4,"Residents, & Anson County Citizens Against Chemical Toxins in Underground Storage",11/28/00,North Carolina Dept. of the Environment & Natural Resources,RACE,No,Complaint alleged issuance of a construction permit for a municipal solid waste landfill facility next to a black community would force residents to bear an undue burden.,Boylin Road and a long dirt road,POLKTON,NC,ANSONCOUNTY,12/1/00,No,Yes,Yes,Rejection,,9/25/01,,Denied - Untimely,,https://www.documentcloud.org/documents/2162665-epa_16r-00-r4.html
16R-05-R9,Redacted,9/8/05,Community First Coalition,RACE,Yes,Complainant alleged he was discriminated against and not allowed to hold a certain position because the project would be in a predominantly black neighborhood. ,Hunters Point,SAN FRANCISCO,CA,,9/13/05,Yes,Yes,Yes,Accepted,Equal Employment Opportunity Commission ,6/23/06,,Dismissed,5/18/09,https://www.documentcloud.org/documents/2162666-epa_16r-05-r9.html
16R-10-R9,El Pueblo Para El Aire y Agua Limpio; Kids Protecting our Planet,N/A,Kings County Board of Supervisors,"RACE, NATIONAL ORIGIN",,Complaint alleged a board discriminated against Latino residents by approving the expansion of a hazardous waste facility and limiting public participation. ,Kettleman Hills,KETTLEMAN CITY,CA,KINGS COUNTY,7/12/10,N/A,N/A,No,Rejection,Federal Highway Administration,8/27/10,,"Denied - Financial, Referred",,https://www.documentcloud.org/documents/2162668-epa_16r-10-r9.html
16R-12-R2,Inmate,8/23/12,"EPA Region 5, New York State Dept. of Corrections",,No,Complainant alleged denial of adequate medical care. ,Southfort Correctional Facility,PINE CITY,NY,,8/27/12,N/A,No,No,Rejection,DOJ Civil Rights Division,1/10/13,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162669-epa_16r-12-r2.html
16R-13-R5,Redacted,12/2/13,Archer Daniels Midland,"RACE, AGE, GENDER",Yes,Complainant alleged he was retaliated against for filing other complaints and was not allowed to interview for a position as a manager because the employer wanted hire a young white woman. ,,DECATUR,IL,,12/11/13,N/A,N/A,No,Rejection,,3/7/14,,Denied - Financial,,https://www.documentcloud.org/documents/2162670-epa_16r-13-r5.html
16R-98-R6,"Texans United Education Fund, Lone Star Chapter of the Sierra Club ",12/7/98,"Texas Natural Resource Conservation Commission, State of Texas ","RACE, INCOME",No,"Complaint alleged the state had allowed a company to operate in violation of environmental law for years and skewed its air permitting program in favor of industry, with a discriminatory impact on residents. ",,PASADENA,TX,PASADENA AND HARRIS COUNTIES,12/7/98,No,No,N/A,Rejection,,7/26/99,1/25/02,Denied - Untimely,,https://www.documentcloud.org/documents/2162671-epa_16r-98-r6.html
16R-99-R9,"Center for Race, Poverty and Environment, California Rural Legal Assistance, Farmworker Justice & Residents",6/30/99,California EPA Dept. of Pesticide Regulation,"RACE, NATIONAL ORIGIN",No,Complaint alleged Latino schoolchildren were disproportionately exposed to harmful pesticides and the permitting of these chemicals by the state was done in a discriminatory way. ,"Elementary, Middle, and High schools throughout California","OXNARD, PAJARO, SALINAS AND WATSONVILLE",CA,"VENTURA, MONTEREY AND SANTA CRUZ COUNTIES",6/30/99,Yes,Yes,Yes,Accepted,,12/11/01,4/22/11,Closed - Settlement,8/25/11,https://www.documentcloud.org/documents/2162672-epa_16r-99-r9.html
17D-05-R1,Redacted,10/14/05,Jobs for Youth Networks,DISABILITY,Yes,Complainant said instructors refused to provide exemptions for a medical condition during the screening process for a program. ,,BOSTON,MA,,10/21/05,N/A,No,N/A,Rejection,,10/2/06,,Denied - Claims,,https://www.documentcloud.org/documents/2162674-epa_17d-05-r1.html
17R-00-R9,Planning for Sustainability,8/8/00,"State of Hawaii, Hawaii County","RACE, NATIONAL ORIGIN, LOW INCOME",No,Complaint alleged state drought plan denied low-income communities access to publicly funded water wells. ,Puna and Ka'u Districts,,HI,,8/8/00,N/A,N/A,N/A,No Review,,4/12/01,27-Sep,Closed - Withdrawn,9/27/01,https://www.documentcloud.org/documents/2162675-epa_17r-00-r9.html
17R-98-R6,Louisiana Environmental Action Network; North Baton Rouge Environmental Association,12/30/98,"Louisiana Dept. of Environmental Quality, State of Louisiana",,,Complaint alleged that the granting of a permit to a polypropylene facility would have a disparate impact on the minority population and exacerbate the air pollution in the area.  ,,"NORTH BATON ROUGE, ALSEN",LA,,12/31/98,N/A,N/A,N/A,No Review,,11/29/01,11/3/03,Dismissed without prejudice,11/3/03,https://www.documentcloud.org/documents/2162676-epa_17r-98-r6.html
17R-99-R5,"Residents, City Councilor Deborah Ann Romak",6/22/99,Michigan Dept. of Environmental Quality,RACE,No,"Complaint alleged that the MDEQ discriminated against African-American residents of Romulus by issuing  permits for two deep waste disposal mineral wells, without adequate public participation",Citrin Drive ,ROMULUS,MI,WAYNE COUNTY,7/1/99,Yes,Yes,Yes,Accepted,,12/11/01,11/15/02,Dismissed,11/15/02,https://www.documentcloud.org/documents/2162678-epa_17r-99-r5.html
17Rsd-10-R4,Redacted,9/2/08,Waden Supply Company,"RACE, SEX, DISABILITY",,Complainant alleged that Winston-Salem/Forsyth County discriminated against complainant and complainant's company with regard to construction bids for a wastewater treatment plant.,,WINSTON-SALEM,NC,,7/12/10,N/A,N/A,N/A,No Review,"US Labor Department, Office of Federal Contract Compliance Programs",11/19/10,,Closed - Referred,11/19/10,https://www.documentcloud.org/documents/2162680-epa_17rsd-10-r4.html
18R-00-R9,"Phoenix Building Trades Inc., and Don't Waste Arizona",12/12/00,Maricopa County Environmental Services Dept.,RACE,No,Complaint alleged a permit revision for a combined cycle power plant was discriminatory because the facility was next to a mostly Latino community but served a predominantly white area. ,West Phoenix,PHOENIX,AZ,MARICOPA COUNTY,12/1/00,Yes,Yes,Yes,Accepted,,12/11/01,4/30/02,Closed - Agreement,4/30/02,https://www.documentcloud.org/documents/2162681-epa_18r-00-r9.html
18R-05-R6,Redacted,12/1/05,Texas Committee on Environmental Quality,,,Complainant alleged bids for a state project were administered in discriminatory way.,,,TX,,12/5/05,No,N/A,N/A,Rejection,,8/25/06,,Denied - Untimely,,https://www.documentcloud.org/documents/2162682-epa_18r-05-r6.html
18R-10-R9,Redacted,4/6/10,Arizona Dept. of Environmental Quality ,,Yes,Complainant alleged he was fired in retaliation for whistleblowing. ,,,AZ,,8/9/10,N/A,N/A,No,Rejection,,11/5/10,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162683-epa_18r-10-r9.html
18R-12-R4,Jones County Improvement Association,8/27/12,"Town of Trenton, Jones County","RACE, COLOR, NATIONAL ORIGIN, RETALIATION",No,Complainant alleged the failure to appoint or elect an African-American to the town board or county board of commissioners was discriminatory. ,,TRENTON,NC,JONES COUNTY,8/27/12,N/A,N/A,No,Rejection,"DOJ Civil Rights Division, Justice Voting Section",4/16/13,,Denied - Financial; Referred ,,https://www.documentcloud.org/documents/2162684-epa_18r-12-r4.html
18R-98-R4,"U.S. Rep. Bennie Thompson (D-MS) on behalf of consituent from Bolton, MS",12/10/98,Mississippi Dept. of Environmental Quality,RACE,No,Complainant had been unable to obtain a swine farm operating permit since 1991 and alleged the state failed to recognize status afforded to him by the county to receive the permit. ,,BOLTON,MS,,12/10/98,Yes,Yes,Yes,Accepted,,9/27/01,7/11/02,Dismissed,7/11/02,https://www.documentcloud.org/documents/2162686-epa_18r-98-r4.html
18R-99-R5,Residents,7/19/99,Michigan Dept. of Environmental Quality,RACE,No,Complaint alleged the state discriminated against African-American residents of Romulus by signing a consent agreement to allow two injection wells but not allowing public input.,Citrin Drive ,ROMULUS,MI,WAYNE COUNTY,7/19/99,No,N/A,N/A,Rejection,,8/24/01,,Denied - Untimely,,https://www.documentcloud.org/documents/2162688-epa_18r-99-r5.html
19R-00-R4,Redacted,12/20/00,Louisville/Jefferson County Air Pollution Control Board,,,Complaint alleged there was insufficient discussion about environmental concerns during the permitting of a facility.  ,,,KY,JEFFERSON AND LOUISVILLE COUNTIES,12/20/00,Yes,No,N/A,Rejection,,7/2/01,,Denied - Claims,,https://www.documentcloud.org/documents/2162689-epa_19r-00-r4.html
19R-05-R4,"The Concerned Citizens for Justice, Bus Riders Union",9/26/05,"Tennessee Dept. of Safety, Tennessee Dept. of Environment & Conservation","RACE, INCOME",,Complaint alleged an emissions-testing tax was being implemented in only 2 of 95 counties and unfairly targeted the poor and racial minorities by denying them use of their vehicles until the residents could pay the tax. ,,CHATTANOOGA,TN,HAMILTON COUNTY,1/9/06,Yes,Yes,Yes,Accepted,,5/31/07,3/9/12,Dismissed,3/9/12,https://www.documentcloud.org/documents/2162691-epa_19r-05-r4.html
19R-10-R9,Committee of Unhealthy Conditions Throughout the (CITY?) of North Palm Springs,3/12/09,"Palm Springs City Council, Palm Springs Police Department, Palm Springs Mayor",,,"Complainants  alleged a community center needed to be tested for asbestos, mold and other toxins that were present, but about which the community had not been notified.",,PALM SPRINGS,CA,,8/24/10,N/A,N/A,N/A,Rejection,,N/A,,Denied,,https://www.documentcloud.org/documents/2162692-epa_19r-10-r9.html
19R-12-R9,Redacted,9/13/12,California Men's Colony State Prison Administration,,No,"Complainant alleges the administration is ""acting with deliberate indiference by purposefully and intentionally exposing prisoners to asbestos in their cells."" ",,SAN LUIS OBISPO,CA,,9/13/12,N/A,No,No,Rejection,US Justice Department,4/25/13,,"Denied - Financial, Referred",,https://www.documentcloud.org/documents/2162693-epa_19r-12-r9.html
19R-99-R9,Community United for Political and Individual Development of Randolph,8/6/99,Arizona Dept. of Environmental Quality ,"RACE, NATIONAL ORIGIN",,Complaint alleged the permit for hazardous waste treatment and storage facility would expose residents to more harm than those in surrounding communities; also alleged insufficient notice.   ,,RANDOLPH,AZ,,8/6/99,Yes,Yes,Yes,Accepted,,12/17/01,6/24/03,Dismissed,6/24/03,https://www.documentcloud.org/documents/2162694-epa_19r-99-r9.html
20R-12-R2,Redacted,10/24/12,,WHISTLEBLOWER,No,Complainant reported captain of NY Ferry to authorities for allegedly littering in the water. Complainant was forcibly removed from the ferry by a passenger who self identified as a NYPD officer and was not allowed to ride ferry again. ,Newburgh-Beacon Ferry ,NEWBURG,NY,,10/24/12,N/A,No,No,Rejection,,7/23/13,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162696-epa_20r-12-r2.html
20R-99-R6,Louisiana Environmental Action Network ,8/24/99,Louisiana Dept. of Environmental Quality ,RACE,,"Complaint alleged permit documents weren't available to public during comment period, and that allowing a formaldehyde plant to operate in the area would contribute to already high air pollution levels. ",,GEISMAR,LA,,8/24/99,N/A,N/A,N/A,No Review,,11/3/03,,Dismissed without prejudice,11/3/03,https://www.documentcloud.org/documents/2162697-epa_20r-99-r6.html
21R-10-R6,Concerned Citizens of University Place Subdivision,9/23/10,"City of Baton Rouge, East Baton Rouge Parish, North Baton Rouge Sewage Treatment Plant",,No,Complaint alleged that a sewage treatment plant was making residents ill. ,University Place subdivision,BATON ROUGE,LA,,9/26/10,No,N/A,N/A,Rejection,,11/24/10,9/28/12,Denied - Untimely,,https://www.documentcloud.org/documents/2162698-epa_21r-10-r6.html
21R-99-R5,Redacted,9/23/99,Michigan Dept. of Environmental Quality,RACE,,Complaint alleged a permit for two hazardous waste disposal wells discriminated against the African-American community. ,,ROMULUS,MI,WAYNE COUNTY,9/1/99,N/A,No,N/A,Rejection,,8/24/01,,Denied - Claims,,https://www.documentcloud.org/documents/2162699-epa_21r-99-r5.html
22R-10-R6,Concerned Citizens of University Place Subdivision,9/15/10,"North Baton Rouge Sewage Treatment Plant, City of Baton Rouge",RACE,No,"Complainant alleged environmental racism, saying a plant made people ill. ",University Place subdivision,BATON ROUGE,LA,,9/15/10,No,No,N/A,Rejection,,9/28/12,,Denied - Untimely,,https://www.documentcloud.org/documents/2162700-epa_22r-10-r6.html
22R-99-R10,Columbia Deepening Opposition Group,9/24/99,U.S. EPA,"RACE, NATIONAL ORIGIN",,Complaint alleged a deepening project would benefit the wealthier counties but damage waterways in lower-income areas. ,,,"OR, WA","CLATSOP, PACIFIC AND WAHKIAKUM COUNTIES",9/24/99,N/A,No,No,Rejection,,9/30/99,,Denied - Claims,,https://www.documentcloud.org/documents/2162701-epa_22r-99-r10.html
23R-10-R4,West End Revitalization Association,2/10/99,"Alamance County Transportation Advisory Committee, Orange County, City of Mebane, North Carolina Dept. of Transportation","RACE, RELIGION, INCOME",No,Complaint alleged low-income and minority residents lacked access to basic government services and had been excluded from meaningful participation in a highway relocation project. ,"West End/Buckhorn/Perry Hill,  ",MEBANE,NC,ALAMANCE COUNTY,11/23/10,N/A,N/A,N/A,Rejection,"US Housing and Urban Development, Federal Highway Administration",9/28/12,,"Denied - Untimely, Referred",,https://www.documentcloud.org/documents/2162702-epa_23r-10-r4.html
23R-99-R5,"Improving Kids' Environment, the Hoosier Environmental Council ",10/19/99,"City of Indianapolis, Indianapolis Dept. of Public Works",RACE,,Complaint alleged systemic neglect of capital improvements in minority communities amid investments in white neighborthoods. ,Area along Fall Creek and White River on the north and near west sides of Indianapolis,INDIANAPOLIS,IN,MARION COUNTY,10/19/99,Yes,Yes,Yes,Accepted,,10/12/01,11/22/06,Closed - Informally Resolved,11/22/05,https://www.documentcloud.org/documents/2162703-epa_23r-99-r5.html
24R-10-R6,Tulane Environmental Law Clinic,N/A,Louisiana Dept. of Environmental Quality,,,Complaint alleged the renewal of a hazardous- and solid-waste permit would create disproportionate health impacts for black residents of Calcasieu Parish,Area near Pittsburgh Plate Glass's Lake Charles Complex,,LA,CALCASIEU PARISH,12/14/10,No,N/A,N/A,Rejection,,11/23/11,,Denied - Untimely,,https://www.documentcloud.org/documents/2162704-epa_24r-10-r6.html
24R-99-R2,Glen Ridge Middle School students ,8/26/99,Glen Ridge Board of Education ,RACE,No,"Complainant worked at a school and said students were being exposed to asbestos and other hazardous materials but were not warned by school officials, who knew of the hazards. ",Glen Ridge Middle School ,GLEN RIDGE,NJ,,8/26/99,N/A,N/A,No,Rejection,,7/17/00,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162706-epa_24r-99-r2.html
25R-99-R1,Alternatives for Community and Environment,12/3/99,Massachusetts Dept. of Environmental Protection ,"RACE, NATIONAL ORIGIN",No,Complaint alleged an incenerator emissions-control plan discriminated against Latinos and Southeast Asian immigrants who fished or consumed fish in the region.,Merrimack Valley,NORTH ANDOVER,MA,,12/6/99,Yes,Yes,Yes,Accepted,,N/A,,Closed - Withdrawn,3/1/02,https://www.documentcloud.org/documents/2162707-epa_25r-99-r1.html
25Sr-10-R3,Redacted,9/30/10,Pennsylvania Dept. of Environmental Protection,SEX,No,Complainant alleged discriminatory treatment by having to incur expenses for correcting problems created by others on complainant's land. ,93-acre farm on Mastersonville Road,MANHEIM,PA,LANCASTER COUNTY,12/30/10,No,N/A,No,Rejection,,5/24/11,,"Denied - Financial, Untimely, Claims",,https://www.documentcloud.org/documents/2162708-epa_25sr-10-r3.html
26r-10-R9,Redacted,12/20/10,State of Hawaii Dept. of Health,RETALIATION,Yes,Complainant alleged retaliation by the state.  ,,,HI,,12/29/10,No,No,No,Rejection,,5/24/11,,"Denied - Claims, Untimely",,https://www.documentcloud.org/documents/2162709-epa_26r-10-r9.html
26R-99-R10,Columbia Deepening Opposition Group,12/6/99,"Oregon Dept. of Environmental Quality, Oregon Division of State Lands","RACE, NATIONAL ORIGIN",No,Complaint alleged channel-deepening project would increase contamination in a river.  ,Columbia and Williamette Rivers,,"OR, WA","CLATSOP, PACIFIC AND WAHKIAKUM COUNTIES",12/10/99,N/A,No,N/A,No Review,,10/24/01,1/9/02,Closed - Withdrawn,1/9/02,https://www.documentcloud.org/documents/2162710-epa_26r-99-r10.html
27R-99-R6,Redacted,12/13/99,Oklahoma Dept. of Environmental Quality,RACE,No,"Complaint alleged a permit allowed a solid-waste landfill to be put in an economically depressed/minority area, and the state didn't consider impacts on the community. ",,IDABEL,OK,MCCURTAIN COUNTY,12/20/99,N/A,No,N/A,Rejection,,N/A,,Denied - Claims,,https://www.documentcloud.org/documents/2162711-epa_27r-99-r6.html
28R-99-R4,"African American Environmental Justice Action Network; Yerkwood Citizens Against Environmental Racism, the Ashurst Bar/Smith Community Landfill Opposition, the Lowndes County Friends of the Selma-to-Mongtomery National Historical Trail,  the Acmar/Moody Environmental Justice Society, the Ram Branch Organization, residents",12/17/99,Alabama Dept. of Environmental Management,RACE,No,"Complaint alleged the issuance of permits to operate municipal solid waste landfills in black neighborhoods, although the landfills served mostly white communities, was discriminatory.",,"FLORENCE, BIRMINGHAM",AL,"LAUDERDALE, JEFFERSON, ST. CLAIR AND WALKER COUNTIES",12/22/99,Yes,Yes,Yes,Accepted,,12/11/01,7/1/03,Dismissed,7/1/03,https://www.documentcloud.org/documents/2162712-epa_28r-99-r4.html
