epa_file_#,named_entity_x,clean_date_received_x,detailed_status,simplified status,Reason for rejection (if applicable),Date of EPA decision,"Presidential administration (considering, if pending; decided, if not)",Environmental Justice Issue(s) Cited,Alleged Discrimination Basis,City,State,ZIP code,Community Impacted,Filed by a lawyer?,Group filing,Filed on behalf of,Is this an EPA-initiated compliance review?,Does the complaint seem to be about an environmental justice matter? ,Notes on EJ categorization,Is there more than one complaint about the matter?,All related complaint numbers,"Total related complaints (includes situations where they're all unique, e.g. complaints filed at different times)","Count this as a unique complaint? (If part of a split complaint, the case with the highest EPA action status is marked ""yes"")",Complaint link,Notes,Additional notes,status check
09u-16-r6,TX Dept. of Criminal Justice,2016-01-11,"referred 7/6/2016 (doj, doi, usda): lack of jurisdiction",rejected and referred,Lack of jurisdiction,7/6/2016,Obama,"Poor air quality in prison work area is causing health ailments among prisoners. They're not given masks or other respiratory aids in dusty/linty conditions. ""These prisoners are suffering from what I would describe as 'whit[e] lung disease' that has been documented in textile mills as a primary cause of disease and death of its workers.""","Unknown (envir.
conditions)",Huntsville,TX,77342,Inmates,No,Redacted individual,,No,No,Occupational health problem (at a prison) -- sounds like an OSHA complaint,,,1,yes,https://www.epa.gov/system/files/documents/2022-08/09U-16-R6%20Complaint%20Redacted.pdf,,,"Referred 7/6/2016 (DOJ, DOI, USDA): Lack of Jurisdiction"
08r-16-r6,"Baton Rouge, LA",2015-12-22,rejected 6/18/2018: lack of jurisdiction,rejected,Lack of jurisdiction,6/18/2018,Trump,Complainant says the community is suffering from the North Baton Rogue sewage treatment plant and and the Devil's Swamp (the contaminated nearby lake),Title VI: Race,North Baton Rogue,LA,not disclosed,community of color,No,Concerned Citizens of University Place Subdivision; redacted individual,,No,Yes,"It's more of an email than a complaint; it mentions the sewage treatment plant and a lake but no detail about the situation, any agencies, etc. CPI wrote about the situation based on an earlier complaint: https://publicintegrity.org/environment/pollution/environmental-justice-denied/environmental-racism-persists-and-the-epa-is-one-reason-why/",,"08r-16-r6, 07r-15-r6",2,Yes,https://www.epa.gov/system/files/documents/2022-08/08R-16-R6%20Complaint%20Redacted.pdf,https://www.wafb.com/story/29782146/warning-state-agencies-report-contamination-in-devils-swamp-bayou-baton-rouge/,,Rejected 6/18/2018: Lack of jurisdiction
07x-16-r10,Shorewood Heights Apt. (WA),2015-12-09,"rejected 4/20/2016: lack of jurisdiction, lack of discriminatory act",rejected,"Lack of jurisdiction, lack of discriminatory act",4/20/2016,Obama,"Complainant is in a flooded apartment, worried about asbestos, lead and other impacts on their family and frustrated about the apartment owner's response","Unknown (envir.
conditions)",Mercer Island,WA,98040,not disclosed,No,Redacted individual,,No,No,No discrimination or protected class cited,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/07X-16-R10%20Complaint%20Redacted.pdf,"https://www.epa.gov/system/files/documents/2022-08/07X-16-R10%20Complaint%20Addendum1%20Redacted.pdf
https://www.epa.gov/system/files/documents/2022-08/07X-16-R10%20Complaint%20Addendum2%20Redacted.pdf",,"Rejected 4/20/2016: Lack of jurisdiction, lack of discriminatory act"
05r-16-r4,Athens-Clark County (GA) - Landfill,2015-11-30,"rejected 3/1/2018: insufficient information to determine jurisdiction, lack of response from complainant to requests for clarification",rejected,"insufficient information to determine jurisdiction, lack of response from complainant to requests for clarification",3/1/2018,Trump,County landfill next to a historical Black church in the Dunlap Road Community is polluting the air,Title VI: Race,Winterville,GA,30683,Predominantly Black community,No,Redacted individual,,No,Yes,"An email rather than a full complaint; doesn't cite timelines, etc.",,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/05R-16-R4%20Complaint.pdf,"""The Dunlap Road Community (including Billups Grove Baptist Church) was one of 30 environmental justice neighborhoods that met with EPA REGION IV Administrator, Stan Meiburg, to discuss their long time abuse.  This highly publicized meeting with an accompanied press conference in Atlanta was organized by Dr. Robert Bullard in Oct 2009.    After this meeting, the local & state authorities issued a permit to begin dumping human and industrial waste next to the historical black church for a commercial composting operation that expanded dump oppression and chemical trespass in spite of an earlier bi county/community agreement.   It has now been uncovered that there is a potential systemic problem with hazardous scoring involving minority communities who were left in harm's way of major public health hazards like this government owned and operated dump.  Internal documents indicate that the hazardous exposures to the Dunlap Road Community was known to be an endangerment to them then downplayed by gaming the risks.""",More about the landfill: https://accgov.com/DocumentCenter/View/91561/Landfill-Report-2023-REVISION-4323,"Rejected 3/1/2018: Insufficient information to determine jurisdiction, lack of response from Complainant to requests for clarification"
06d-16-r4,Athens-Clark County (GA) – Water Quality,2015-11-30,"rejected 12/1/2017: insufficient information to determine jurisdiction, lack of response from complainant to requests for clarification, complainant referred to region 4 to continue existing actions re: envir. issues",rejected and referred: within EPA,"insufficient information to determine jurisdiction, lack of response from complainant to requests for clarification",12/1/2017,Trump,drinking water problems at complainant's property,"Section 504:
Disability",Athens-Clarke County,GA,not disclosed,Person with disabilities,No,Redacted individual,,No,No,No discrimination cited,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/06D-16-R4%20Complaint_Redacted.pdf,https://www.epa.gov/system/files/documents/2022-08/06D-16-R4%20Complaint%20Emails%20Redacted.pdf,,"Rejected 12/1/2017: Insufficient information to determine jurisdiction, lack of response from Complainant to requests for clarification, Complainant referred to Region 4 to continue existing actions re: envir. issues"
14x-16-r4,not provided by complainant,2015-11-10,"admin closure 6/30/2016: ocr unable to open original dvd correspondence, lack of response from complainant to follow-up notice from ocr",rejected,"no information, lack of response from complainant",6/30/2016,Obama,"N/A (complainant sent a CD that EPA couldn't open, rather than detailing the complaint in writing)",Unknown,Ensley,AL,not disclosed,no information,no information,no information,,No,Unclear,No information on the complaint,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/14X-16-R4%20Acknowledgment%20in%20Lieu%20of%20Complaint%20%28Complainant%29%20Redacted.pdf,,,"Admin Closure 6/30/2016: OCR unable to open original DVD correspondence, lack of response from Complainant to follow-up notice from OCR"
04r-16-r4,"Athens, GA - Fluoride",2015-10-30,rejected 9/29/2017: investigation unwarranted- insufficiently grounded in fact,rejected,insufficiently grounded in fact,9/29/2017,Trump,"Athens and the state ""intentionally contaminate municipal water supplies with chemical compounds to fluoridate, and promote expansion of these corrosive neurotoxic agents that stress already crumbling water infrastructures and remain persistent in the environment,"" disproportionately injuring Black residents, and complainant was disturbed to see fluoride posters in Congress",Title VI: Race,Winterville,GA,30683,Black residents,no,Redacted individual,,No,No,"Fluoride opponents would say this is an environmental justice issue, but for the purposes of whether the EPA is taking action on EJ, I think the correct answer is no",,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/04R-16-R4%20Complaint%20Email2%20Redacted.pdf,https://www.epa.gov/system/files/documents/2022-08/04R-16-R4%20Complaint%20Email1%20Redacted.pdf,,Rejected 9/29/2017: Investigation Unwarranted- insufficiently grounded in fact
03d-16-r2,"City of Rochester, NY",2015-10-15,resolved through early complaint resolution agreement: 7/19/2018; case closed 10/9/2018,resolved: early complaint resolution agreement,,7/19/2018,Trump,"City denied ""at least one disabled resident any input in the public forum"" for a project generating ""life-threatening air/noise pollution.""","Section 504:
Disability",Rochester,NY,not disclosed,Disabled residents,No,Redacted individual,,No,Yes,,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/03D-16-R2%20Complaint%20Redacted.pdf,,,Resolved Through Early Complaint Resolution Agreement: 7/19/2018; Case Closed 10/9/2018
01x-16-r5,"Village of Barrington, IL",2015-10-05,admin closure 2/16/2017: lack of response from complainant to requests for clarification,rejected,lack of response from complainant,2/16/2017,Trump,A flood in complainant's neighborhood caused sewage overflows from storm drains; city has delayed making infrastructure improvements,"Unknown (envir.
conditions)",Barrington,IL,60010,residents,No,Redacted individual,,No,Unclear,No protected parties mentioned,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/01X-16-R5%20Complaint_Redacted.pdf,,,Admin Closure 2/16/2017: Lack of response from Complainant to requests for clarification
02no-16-r4,Georgia Dept. of Agriculture,2015-10-01,resolved through informal resolution agreement: 2/8/2017; monitoring completed and case closed 1/7/2020,resolved: informal resolution agreement,,2/8/2017,Trump,"After an agricultural employer exposed farmworkers on temporary agricultural visas to pesticides that triggered immediate health impacts, the Georgia Department of Agriculture declined offer witnesses who requested an investigation confidentiality, declined to interview a witness because of the translation fee it would have to pay (it had no investigators who spoke Spanish) and then closed the investigation.",Title VI: National Origin,Cobbtown,GA,30420,Low English proficiency workers on temporary visas,Yes,Georgia Legal Services Program (Farmworker Rights Division),,No,Yes,,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/02NO-16-R4%20Complaint_Redacted.pdf,"""The Department cannot avoid its Title VI obligations simply by failing to budget for compliance.""",,Resolved Through Informal Resolution Agreement: 2/8/2017; Monitoring Completed and Case Closed 1/7/2020
26nod-15-r10,City of Mukilteo (WA),2015-09-09,"rejected 5/15/2018: investigation unwarranted – claim 1 speculative, claim 2 – lack of discriminatory act, claim 3 – lack of discriminatory act",rejected,"investigation unwarranted (speculative, lack of discriminatory act)",5/15/2018,Trump,"Cell phone tower placed near complainant's house is a ""dangerous weapon"" due to radiation and the potential for a landslide where it was placed; complainant has a disability and cites national origin and race in the letter","Title VI: National Origin
Section 504: Disability",Mukilteo,WA,98275,Person with disabilities,No,Redacted individual,,No,No,This is a complaint about the siting of a cell phone tower,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/26NOD-15-R10%20Complaint%20Redacted.pdf,,,"Rejected 5/15/2018: Investigation Unwarranted – claim 1 speculative, claim 2 – lack of discriminatory act, claim 3 – lack of discriminatory act"
23rno-16-r3,Maryland Dept. of Envir.,2015-08-24,rejected 12/20/2016: untimely filed,rejected,untimely,12/20/2016,Obama,"Complainant says the state agency targeted him with a lead lawsuit over properties certified as lead free ""as a form of harrassment/discrimination""; one staffer ""said to me: 'we don't like foreigners.'""","Title VI: Race, National Origin",Baltimore,MD,not disclosed,"Immigrant, Black resident",No,Redacted individual,,No,No,"This isn't a case of environmental exposure, but rather of a person alleging a state agency unfairly targeted him for a lead lawsuit based on national origin",,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/23RNO-16-R3%20Complaint%20Redacted.pdf,,,Rejected 12/20/2016: Untimely filed
25r-15-r6,Stella-Jones Inc. and Colfax Treating Co. (LA) ,2015-08-23,rejected 9/29/2017: lack of jurisdiction – referred epa region 6 (existing contact),rejected and referred: within EPA,Lack of jursdiction,9/29/2017,Trump,"Black community is hemmed in by two creosote plants; people are ""sick and dying from creosote contamination and chemicals related diseases."" ",Title VI: Race,Alexandria,LA,71302,Predominantly Black community,No,Redacted individual,,No,Yes,,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/25R-15-R6%20Complaint%20Redacted.pdf,https://www.ehstoday.com/archive/article/21904741/louisiana-lawsuits-claim-companies-caused-serious-health-problems,https://www.thetowntalk.com/story/news/local/2015/05/05/honor-urges-alexandria-health-survey-creosote-impact/26964969/,Rejected 9/29/2017: Lack of Jurisdiction – referred EPA Region 6 (existing contact)
24u-15-r4,Pipe Masters (NC)        ,2015-08-22,"rejected 3/17/2016: lack of jurisdiction, lack of discrim. act",rejected,"lack of jurisdiction, lack of discriminatory act",3/17/2016,Obama,"Company is ""forcing [employees] to vent freon into the air [when] working.""",Unknown (envir. conditions),not disclosed,NC,not disclosed,workers,No,Redacted individual,,No,No,It sounds like an OSHA complaint; no discrimination cited,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/24U-15-R4%20Complaint%20Redacted.pdf,,,"Rejected 3/17/2016: Lack of Jurisdiction, Lack of Discrim. Act"
23u-15-r9,"Double Tree Hotel (Sacramento, CA)",2015-08-12,"rejected 2/2/2016: lack of jurisdiction, lack of discrim act – suggested contact calif. dph, indoor air quality section",rejected,"lack of jurisdiction, lack of discriminatory act",2/2/2016,Obama,"Complainant stayed in a hotel room that ""smelt heavily of mold""",Unknown (envir. conditions),Sacramento,CA,not disclosed,hotel visitors,No,Redacted individual,,No,No,It's a complaint about mold in a hotel room,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/23U-15-R9%20Complaint%20Redacted.pdf,,,"Rejected 2/2/2016: Lack of Jurisdiction, Lack of Discrim Act – suggested contact Calif. DPH, Indoor Air Quality Section"
22x-15-r6,"Village Villas (Hot Springs, AR)",2015-08-06,"Rejected 1/20/2016: Lack of Jurisdiction, Lack of Discrim Act – suggested contact Hot Springs Nuisance Abatement Office",rejected,"lack of jurisdiction, lack of discriminatory act",1/20/2016,Obama,"Apartment complex isn't dealing with bats and bat waste, sickening the residents because of exposure to Histoplasmosis",Unknown (envir. conditions),Hot Springs,AR,71910,residents,Yes,Attorney Charles Matthews,redacted individuals,No,No,Complaint is about bat waste at an apartment,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/22X-15-R6%20Complaint%20Redacted.pdf,,,"Rejected 1/20/2016: Lack of Jurisdiction, Lack of Discrim Act – suggested contact Hot Springs Nuisance Abatement Office"
18r-15-r5,IL EPA – Agrifine,2015-07-23,admin closure (withdrawn): 1/27/2016,closed: complaint withdrawn,,1/27/2016,Obama,"State agency discriminated by failing to incorporate public participation in its permitting for Agri-Fine, which operates and pollutes in an environmental justice community",Title VI: Race,Chicago,IL,60617,Black and Latino community,Yes,Southeast Environmental Task Force; the Southeast Side Coalition to Ban Petcoke,,No,Yes,,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/18R-15-R5%20Complaint.pdf,,,Admin Closure (Withdrawn): 1/27/2016
21u-15-r4,AL Dept. of Corrections,2015-07-21,rejected and referred (doj) 8/27/2015: lack of jurisdiction,rejected and referred,Lack of jurisdiction,8/27/2015,Obama,Mention of clean-air concerns in the prison because of handmade cigarettes prisoners are smoking,Unknown (envir. conditions),Harvest,AL,35749,inmates,No,Redacted individual,,No,No,Complaint about smoking,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/21U-15-R4%20Complaint%20Redacted.pdf,,,Rejected and Referred (DOJ) 8/27/2015: Lack of Jurisdiction
20u-15-r6,"Broken Arrow, OK Area",2015-07-10,"rejected 8/10/2015: no recipient named, no discriminatory act",rejected,"no recipient named, lack of discriminatory act",8/10/2015,Obama,Bed bugs; complainant asks the EPA for help,Unknown (envir. conditions),Broken Arrow,OK,74012,complainant's family,No,Redacted individual,,No,No,"Not an exposure issue, no protected class mentioned, no entity mentioned",,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/20U-15-R6%20Complaint%20Redacted.pdf,,,"Rejected 8/10/2015: No recipient named, no discriminatory act"
15u-15-r4,NC Dept. of Public Safety - Eastern Corr. Inst,2015-06-30,"rejected and referred (doj, nc dhhs, dol/osha) 8/21/2015: lack of jurisdiction",rejected and referred,Lack of jurisdiction,8/21/2015,Obama,"Because of asbestos in Eastern Correctional Unit, the air vents/ducts haven't been cleaned since the prison opened in 1982, leaving people there breathing 33 years of ""accumulated filth""; complainant was housed there earlier and suffered from sinus issues as well as getting exposed to the abestos while working in maintenance",Unknown (envir. conditions),Maury,NC,28554,inmates,No,Redacted individual,,No,Possibly,The asbestos exposure sounds like an OSHA complaint; not sure how the EPA might handle a general bad-air issue that isn't about pollution per se,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/15U-15-R4%20Complaint%20Redacted.pdf,,,"Rejected and Referred (DOJ, NC DHHS, DOL/OSHA) 8/21/2015: Lack of Jurisdiction"
16d-15-r3,Philadelphia County (PA) Assistance Office,2015-06-29,rejected and referred (hhs) 7/22/2015: lack of jurisdiction,rejected and referred,Lack of jurisdiction,7/22/2015,Obama,Complaint is about insurance,Section 504: Disability,Philadelphia,PA,19103,Person with disabilities,No,Redacted individual,,No,No,Complainant was trying to get their insurance switched and got the runaround,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/16D-15-R3%20Complaint%20Redacted.pdf,,,Rejected and Referred (HHS) 7/22/2015: Lack of Jurisdiction
13u-15-r4,NC Dept. of Public Safety - Pamlico Corr. Inst,2015-06-24,rejected and referred (doj) 8/20/2015: lack of jurisdiction,rejected and referred,Lack of jurisdiction,8/20/2015,Obama,"Pamlico Correctional Institution has ""mold fungi and mildew and possible asbestos dust particles"" in the ventilation system, endangering inmates and staff, and refushed to flush the system because of cost. Complainant also complained to OSHA.",Unknown (envir. conditions),Bayboro,NC,28515,inmates,No,Redacted individual,,No,Possibly,"Another complaint about asbestos at a prison, this one general rather than about work exposure",,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/13U-15-R4%20Complaint%20Redacted.pdf,https://www.epa.gov/system/files/documents/2022-08/13U-15-R4%20Second%20letter%20from%20complainant_Letter%20to%20OSHA%20Redacted.pdf,,Rejected and Referred (DOJ) 8/20/2015: Lack of Jurisdiction
14u-15-r3,Kinzer Drilling; Energy Corp; WV DEP- Abandoned Mines Office,2015-06-24,"rejected 3/17/2017: lack of jurisdiction (kinzer, energy corp); lack of discrim. act (wvdep) – suggested contact doi/osmre, wv enviro council, wv rivers coalition",rejected,"Lack of jurisdiction, lack of discriminatory act",3/17/2017,Trump,"Hard-to-read handwritten letters; complainant's home was damaged with water and mold, which (based on a letter they included from a company they complained to) they attributed to blasting or underground mining",Unknown (envir. conditions),Williamson,WV,25661,complainant,No,Redacted individual,,No,No,No protected class mentioned and the complaint is unclear as to the cause of the damage,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/14U-15-R3%20Complaint%20Redacted.pdf,"https://www.epa.gov/system/files/documents/2022-08/14U-15-R3%20Supp1%20Redacted.pdf
epa.gov/system/files/documents/2022-08/14U-15-R3%20Supp2%20Redacted.pdf",,"Rejected 3/17/2017: Lack of Jurisdiction (Kinzer, Energy Corp); Lack of Discrim. Act (WVDEP) – suggested contact DOI/OSMRE, WV Enviro Council, WV Rivers Coalition"
12u-15-r5,Auto Body Shop (IN),2015-06-09,"rejected 4/14/2016: lack of discriminatory act, suggested contact u.s. dol/osha",rejected,lack of discriminatory act,4/14/2016,Obama,Concerns about possible contamination related to an autobody shop,Unknown (envir. conditions),Brownsburg,IN,46112,complainant,No,Redacted individual,,No,Possibly,"No protected class mentioned, no discrimination cited",,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/12U-15-R5%20Complaint%20Redacted.pdf,https://www.epa.gov/system/files/documents/2022-08/12U-15-R5%20Response%20to%202nd%20Request%20Redacted.pdf,,"Rejected 4/14/2016: Lack of discriminatory act, suggested contact U.S. DOL/OSHA"
11d-15-r3,Winn Apts. (DC),2015-06-08,"Rejected and Referred (DC Dept. of Health, DC Dept. of Consumer and Reg Affairs) 8/20/2015: Lack of Jurisdiction",rejected and referred,Lack of jurisdiction,8/20/2015,Obama,Chronic flooding in apartment is causing mold and other issues,Section 504: Disability,Washington,DC,20032,Person with a disability,No,Redacted individual,,No,No,It's a property and health issue; EPA referred to local health department,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/11D-15-R3%20Complaint%20Redacted.pdf,,,"Rejected and Referred (DC Dept. of Health, DC Dept. of Consumer and Reg Affairs) 8/20/2015: Lack of Jurisdiction"
17x-15-r5,"Rainforest Inquiry (Jefferson ES 4th Graders, Rochester, Minn.)",2015-05-27,Referred to EPA Office of Envir. Education on 8/20/2015 for response – Not a Complaint,referred: not a complaint,N/A (not a complaint),N/A,,Two fourth-grade students write the EPA generally (not this office specifically) with concerns about rainforests being cut down,Unknown (envir. conditions),Rochester,MN,not disclosed,The world,No,Fourth-grade students,,No,No,"Students with a general environmental concern, not complaints",,,1,N/A,https://www.epa.gov/system/files/documents/2022-08/17X-15-R5%20Letter1%20Redacted.pdf,https://www.epa.gov/system/files/documents/2022-08/17X-15-R5%20Letter2%20Redacted.pdf,,Referred to EPA Office of Envir. Education on 8/20/2015 for response – Not a Complaint
19r-15-r2,NJ DEP – Trenton HS,2015-05-26,rejected 9/14/2018: investigation unwarranted – actions already taken,rejected,investigation unwarranted – actions already taken,9/14/2018,Trump,"Complainant says the agency approved a school demolition without requiring project managers to perform the same due diligence, including protecting the surrounding area from asbestos, ""that would normally be done for a project of this magnitude in a wealthy or predominantly white neighborhood."" The surrounding area is a low-income community of color.",Title VI: Race,Trenton,NJ,not disclosed,Low-income community of color,No,Redacted individual,,No,Yes,,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/19R-15-R2%20Complaints%20Redacted.pdf,https://www.epa.gov/system/files/documents/2022-08/19R-15-R2%20Web%20Complaint%20Redacted.pdf,"""The New Jersey Department of Environmental Protection and New Jersey Department  of Community Affairs engaged in racial discrimination by jeopardizing the health and safety of residents near Trenton Central High School.""",Rejected 9/14/2018: Investigation Unwarranted – actions already taken
10u-15-r8,North Dakota Dept. of Agriculture,2015-04-13,rejected and referred (usda) 7/8/2015: lack of jurisdiction,rejected and referred,Lack of jurisdiction,7/8/2015,Obama,Complainant tried to go through state mediation over a pesticide application that killed their crop and found the proceedings biased,Unknown (mediation service),Mooreton,ND,58061,complainant,No,Redacted individual,,No,No,"No mention of discrimination or a protected class (and the complaint doesn't seem to be about environmental exposure, just crop loss)",,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/10U-15-R8%20Complaint%20Redacted.pdf,,,Rejected and Referred (USDA) 7/8/2015: Lack of Jurisdiction
09r-15-r9,Calif. EPA/Dept. of Toxic Substances Control,2015-03-19,resolved and closed through adr settlement: 9/13/2016,resolved: alternative dispute resolution settlement,,9/13/2016,Obama,"Agencies approved an expasion of the Chemical Waste Management Kettleman Hills Hazardous Waste Facility ""through use of flawed, defective and racially discriminatory procedures, studies and permit processes""; the expansion would increase diesel truck traffic, worsening already high leveles of asthma in the city, and increase the risk of hazardous waste contamination. State relied on county's process, which was entirely in English despite requests for Spanish-language options; ""documents were adopted through the use of these racially discriminatory procedures and by a large scale and intimidating police presence including police dogs.""",Title VI: Race,Kettleman City,CA,not disclosed,Latino and Spanish-speaking residents,Yes,El Pueblo para el Aire y Agua Limpia; Greenaction for Health and Environmental Justice,,No,Yes,,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/09R-15-R9%20Complaint%20NR.pdf,"""The agreement is one of the first examples of a voluntary resolution jointly developed by state agencies and community groups under Title VI of the federal Civil Rights Act, which prohibits discrimination on the basis of race, color or national origin in any programs or activities receiving federal financial assistance."" Link: https://dtsc.ca.gov/2016/08/10/landmark-agreement-reached-to-benefit-environmental-justice-communities-and-resolve-a-civil-rights-complaint-on-hazardous-waste-permitting-decision/",,Resolved and Closed Through ADR Settlement: 9/13/2016
08r-15-r4,Jefferson Co. (AL) Dept. of Health – Walter Coke,2015-03-02,resolved through informal resolution agreement: 7/2/2019; in monitoring,resolved: informal resolution agreement,,7/2/2019,Trump,"County agency approved a permit for a coke facility (a type of coal residue), impacting the Black residents in the adjacent community ""without justification""",Title VI: Race,Birmingham,AL,35207,Black community,Yes,Law office of David A. Ludder,GASP; Greater Birmingham Ministries; PANIC (People Against Neighborhood Industrial Contamination); redacted individuals,No,Yes,,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/08R-15-R4%20Complaint_Redacted.pdf,,,Resolved Through Informal Resolution Agreement: 7/2/2019; In Monitoring
07r-15-r6,Baton Rouge (LA),2015-02-25,rejected 8/31/2016: lack of discriminatory act,rejected,lack of discriminatory act,8/31/2016,Obama,"Complainant says the community ""is forced to live in human waste sewage air pollution for many years""",Title VI: Race,Baton Rogue,LA,not disclosed,Black community,No,Concerned Citizens of University Place Subdivision,,No,Yes,"Not much detail on the situation in the letter, but CPI wrote about the situation based on an earlier complaint: https://publicintegrity.org/environment/pollution/environmental-justice-denied/environmental-racism-persists-and-the-epa-is-one-reason-why/",,"08r-16-r6, 07r-15-r6",2,Yes,https://www.epa.gov/system/files/documents/2022-08/07R-15-R6%20Complaint%20Redacted.pdf,,,Rejected 8/31/2016: Lack of Discriminatory Act
06r-15-r6,Ameripure Oyster Plant; City of Franklin (LA),2015-02-24,"rejected 5/5/2015 & 2/11/2016: lack of jurisdiction, untimely filed",rejected,"Lack of jurisdiction, untimely",2/11/2016,Obama,"Referred to the EPA by the DOJ; company spread oyster shells on their parking lot, drawing buzzards; ""the stink and the flies was and still is horrible."" Rain spreads the stink directly into complainant's yard. Company put a large butene tank near complainant's home. Truck traffic is constant. ""It's plain to see that this is environmental racism.""",Title VI: Race,Franklin,LA,not disclosed,Black community,No,NAACP of St. Mary,Redacted individual,No,Yes,,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/06R-15-R6%20Complaint%20Redacted.pdf,,,"Rejected 5/5/2015 & 2/11/2016: Lack of Jurisdiction, Untimely Filed"
05d-15-r6,Laredo (TX); Webb Co. (TX) Utilities Dept.; TCEQ,2015-02-18,"rejected 1/21/2016: lack of jurisdiction (city and county), lack of discriminatory act",rejected,"Lack of jurisdiction, lack of discriminatory act",1/21/2016,Obama,"Referred to the EPA by the DOJ; complaint's letter is partially cut off, but the issue has to do with pipes that ""release toilet fumes"" into their home ",Section 504: Disability,Laredo,TX,78040,Person with a disability,No,Redacted individual,,No,No,Issue related to faulty plumbing ,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/05D-15-R6%20Complaint%20Redacted.pdf,,,"Rejected 1/21/2016: Lack of Jurisdiction (City and County), Lack of Discriminatory Act"
04r-15-r4,AL Dept. of Corrections – Limestone Corr. Fac.,2015-02-09,rejected and referred (doj) 4/3/2015: lack of jurisdiction,rejected and referred,Lack of jurisdiction,4/3/2015,Obama,"Asbestos and radon exposure in Alabama prisons: All state prisons have friable asbestos exposure and several ""are built on landfill property and some on old coal mines. Raw sewage is discharged into the Black Warrior River and creeks by various prisons. Due to ventilation issues, Alabama prisons smell like ""methane gas and sewer gas.""",Unknown (envir. conditions),statewide,AL,multiple,inmates,No,Redacted individual,,No,Yes,"No protected class mentioned, but there probably is one",,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/04R-15-R4%20Complaint%20Redacted.pdf,,,Rejected and Referred (DOJ) 4/3/2015: Lack of Jurisdiction
12x-16-r5,"Factory Farms, Brodhead, WI",2015-02-07,admin closure 7/18/2016: complaint withdrawn,closed: complaint withdrawn,,7/18/2016,Obama,"An ""obnoxious stench"" comes from the manure pits of factory farms southwest of Brodhead","Unknown (envir.
conditions)",Brodhead,WI,53520,residents,No,Redacted individual,,No,Unclear,No protected class mentioned,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/12X-16-R5%20Complaint%20Redacted.pdf,,,Admin Closure 7/18/2016: Complaint Withdrawn
03r-15-r4,Jefferson Co. (AL) Dept. of Health – ABC Coke,2015-02-06,resolved through informal resolution agreement: 7/2/2019; in monitoring,resolved: informal resolution agreement,,7/2/2019,Trump,"County agency approved a permit for a coke facility (a type of coal residue), impacting the Black residents in the adjacent community. (This is one of two such complaints involving different coke facilities.)",Title VI: Race,Birmingham,AL,35207,Black community,Yes,Law office of David A. Ludder,GASP; Greater Birmingham Ministries; PANIC (People Against Neighborhood Industrial Contamination); redacted individuals,No,Yes,,,,1,Yes,https://www.epa.gov/system/files/documents/2022-08/03R-15-R4%20Complaint%20Redacted.pdf,Residents were not happy with the settlement: https://birminghamwatch.org/epa-overrides-civil-rights-complaint-jcdh-adding-residents-frustration/,,Resolved Through Informal Resolution Agreement: 7/2/2019; In Monitoring
